hgnc_symbol	ensembl_gene_id	gene_biotype
SKA1	ENSG00000154839	protein_coding
TP53INP2	ENSG00000078804	protein_coding
TRIOBP	ENSG00000100106	protein_coding
PAXBP1	ENSG00000159086	protein_coding
LTBP2	ENSG00000119681	protein_coding
JDP2	ENSG00000140044	protein_coding
SPATA2	ENSG00000158480	protein_coding
BBOX1	ENSG00000129151	protein_coding
PPP1R3D	ENSG00000132825	protein_coding
RBBP8NL	ENSG00000130701	protein_coding
DOK5	ENSG00000101134	protein_coding
S1PR4	ENSG00000125910	protein_coding
VCAN	ENSG00000038427	protein_coding
DNAJC1	ENSG00000136770	protein_coding
ASAP2	ENSG00000151693	protein_coding
MYO18B	ENSG00000133454	protein_coding
ZNF141	ENSG00000131127	protein_coding
GTSF1L	ENSG00000124196	protein_coding
WDPCP	ENSG00000143951	protein_coding
SLC37A1	ENSG00000160190	protein_coding
PGLYRP2	ENSG00000161031	protein_coding
MAT1A	ENSG00000151224	protein_coding
MRPL15	ENSG00000137547	protein_coding
PNPT1	ENSG00000138035	protein_coding
NIPSNAP2	ENSG00000146729	protein_coding
SHROOM3	ENSG00000138771	protein_coding
AOAH	ENSG00000136250	protein_coding
SLC4A11	ENSG00000088836	protein_coding
LMNB1	ENSG00000113368	protein_coding
RADX	ENSG00000147231	protein_coding
UFD1	ENSG00000070010	protein_coding
PCNA	ENSG00000132646	protein_coding
AGO4	ENSG00000134698	protein_coding
CNOT11	ENSG00000158435	protein_coding
FDX1	ENSG00000137714	protein_coding
USP25	ENSG00000155313	protein_coding
MTG1	ENSG00000148824	protein_coding
EMX1	ENSG00000135638	protein_coding
CSE1L	ENSG00000124207	protein_coding
LY6K	ENSG00000160886	protein_coding
ZNF500	ENSG00000103199	protein_coding
CEMIP2	ENSG00000135048	protein_coding
PRDX5	ENSG00000126432	protein_coding
MMUT	ENSG00000146085	protein_coding
ZZEF1	ENSG00000074755	protein_coding
AK4	ENSG00000162433	protein_coding
LCP1	ENSG00000136167	protein_coding
PDGFRA	ENSG00000134853	protein_coding
SEC14L4	ENSG00000133488	protein_coding
MYOM1	ENSG00000101605	protein_coding
GFPT2	ENSG00000131459	protein_coding
PIGK	ENSG00000142892	protein_coding
TSPAN6	ENSG00000000003	protein_coding
SUSD2	ENSG00000099994	protein_coding
UBP1	ENSG00000153560	protein_coding
CPNE8	ENSG00000139117	protein_coding
LNPK	ENSG00000144320	protein_coding
CCNG2	ENSG00000138764	protein_coding
SYT5	ENSG00000129990	protein_coding
PRPSAP2	ENSG00000141127	protein_coding
PLIN2	ENSG00000147872	protein_coding
TNFSF13B	ENSG00000102524	protein_coding
PTS	ENSG00000150787	protein_coding
ATP6V0A4	ENSG00000105929	protein_coding
PHTF1	ENSG00000116793	protein_coding
AADAT	ENSG00000109576	protein_coding
ARAF	ENSG00000078061	protein_coding
STARD3	ENSG00000131748	protein_coding
IGSF11	ENSG00000144847	protein_coding
NPFFR1	ENSG00000148734	protein_coding
AP3M2	ENSG00000070718	protein_coding
DYNLT1	ENSG00000146425	protein_coding
CEP78	ENSG00000148019	protein_coding
PIGM	ENSG00000143315	protein_coding
FGFBP2	ENSG00000137441	protein_coding
KIF2B	ENSG00000141200	protein_coding
APC2	ENSG00000115266	protein_coding
TAS2R4	ENSG00000127364	protein_coding
WAPL	ENSG00000062650	protein_coding
MAMLD1	ENSG00000013619	protein_coding
CBX1	ENSG00000108468	protein_coding
TPCN2	ENSG00000162341	protein_coding
SLC31A2	ENSG00000136867	protein_coding
SLC22A2	ENSG00000112499	protein_coding
ARL11	ENSG00000152213	protein_coding
PHF10	ENSG00000130024	protein_coding
KDM4C	ENSG00000107077	protein_coding
UNC93A	ENSG00000112494	protein_coding
PABIR2	ENSG00000156504	protein_coding
DCAF10	ENSG00000122741	protein_coding
DDT	ENSG00000099977	protein_coding
AK1	ENSG00000106992	protein_coding
KDM8	ENSG00000155666	protein_coding
RGL4	ENSG00000159496	protein_coding
KCNJ1	ENSG00000151704	protein_coding
GABRA2	ENSG00000151834	protein_coding
TLR2	ENSG00000137462	protein_coding
DMAC2L	ENSG00000125375	protein_coding
SLC38A10	ENSG00000157637	protein_coding
TNFRSF10A	ENSG00000104689	protein_coding
LRWD1	ENSG00000161036	protein_coding
LSM7	ENSG00000130332	protein_coding
FRMPD2B	ENSG00000150175	translated_unprocessed_pseudogene
SURF1	ENSG00000148290	protein_coding
HNRNPH3	ENSG00000096746	protein_coding
NSD2	ENSG00000109685	protein_coding
PLA2G15	ENSG00000103066	protein_coding
PABPC1L	ENSG00000101104	protein_coding
TOMM34	ENSG00000025772	protein_coding
PI3	ENSG00000124102	protein_coding
SLC17A4	ENSG00000146039	protein_coding
TMEM132D	ENSG00000151952	protein_coding
SCO1	ENSG00000133028	protein_coding
RAB28	ENSG00000157869	protein_coding
TDO2	ENSG00000151790	protein_coding
TIMM29	ENSG00000142444	protein_coding
DPY30	ENSG00000162961	protein_coding
PGD	ENSG00000142657	protein_coding
DDX25	ENSG00000109832	protein_coding
MFAP3	ENSG00000037749	protein_coding
IRF1	ENSG00000125347	protein_coding
SLC39A3	ENSG00000141873	protein_coding
GNG5B	ENSG00000133136	protein_coding
TEKT3	ENSG00000125409	protein_coding
IGSF3	ENSG00000143061	protein_coding
MTHFS	ENSG00000136371	protein_coding
GLE1	ENSG00000119392	protein_coding
DSPP	ENSG00000152591	protein_coding
SLC39A8	ENSG00000138821	protein_coding
MRPL17	ENSG00000158042	protein_coding
WDFY4	ENSG00000128815	protein_coding
MMD2	ENSG00000136297	protein_coding
COIL	ENSG00000121058	protein_coding
ANKRD16	ENSG00000134461	protein_coding
DISC1	ENSG00000162946	protein_coding
SPAG5	ENSG00000076382	protein_coding
EML3	ENSG00000149499	protein_coding
HSPD1	ENSG00000144381	protein_coding
ATN1	ENSG00000111676	protein_coding
REEP2	ENSG00000132563	protein_coding
TRAF2	ENSG00000127191	protein_coding
NOM1	ENSG00000146909	protein_coding
RHOXF2	ENSG00000131721	protein_coding
PLCD3	ENSG00000161714	protein_coding
PKD2L2	ENSG00000078795	protein_coding
INHA	ENSG00000123999	protein_coding
RPA2	ENSG00000117748	protein_coding
ZCWPW1	ENSG00000078487	protein_coding
CYRIB	ENSG00000153310	protein_coding
ZNF697	ENSG00000143067	protein_coding
HSD17B1	ENSG00000108786	protein_coding
RPL37	ENSG00000145592	protein_coding
TMEM40	ENSG00000088726	protein_coding
POLE2	ENSG00000100479	protein_coding
CASQ2	ENSG00000118729	protein_coding
PDGFRL	ENSG00000104213	protein_coding
GPR65	ENSG00000140030	protein_coding
FOXN4	ENSG00000139445	protein_coding
PRDM7	ENSG00000126856	protein_coding
ALG2	ENSG00000119523	protein_coding
ANKRD31	ENSG00000145700	protein_coding
IPO13	ENSG00000117408	protein_coding
TNFAIP6	ENSG00000123610	protein_coding
CATSPER3	ENSG00000152705	protein_coding
VIPR1	ENSG00000114812	protein_coding
GALNT3	ENSG00000115339	protein_coding
KIAA0513	ENSG00000135709	protein_coding
PALLD	ENSG00000129116	protein_coding
ZG16B	ENSG00000162078	protein_coding
WDR33	ENSG00000136709	protein_coding
SAP130	ENSG00000136715	protein_coding
LRGUK	ENSG00000155530	protein_coding
TBX6	ENSG00000149922	protein_coding
NDUFS7	ENSG00000115286	protein_coding
ADGRL1	ENSG00000072071	protein_coding
NECAB2	ENSG00000103154	protein_coding
EPHB2	ENSG00000133216	protein_coding
SSBP2	ENSG00000145687	protein_coding
UBA5	ENSG00000081307	protein_coding
MMP13	ENSG00000137745	protein_coding
GBP4	ENSG00000162654	protein_coding
HSD17B3	ENSG00000130948	protein_coding
PLEKHG1	ENSG00000120278	protein_coding
CSNK1A1	ENSG00000113712	protein_coding
ODF2	ENSG00000136811	protein_coding
SEPTIN4	ENSG00000108387	protein_coding
LHFPL4	ENSG00000156959	protein_coding
PARD6A	ENSG00000102981	protein_coding
BTG4	ENSG00000137707	protein_coding
MRPL24	ENSG00000143314	protein_coding
METTL8	ENSG00000123600	protein_coding
PAXIP1	ENSG00000157212	protein_coding
LINC01558	ENSG00000146521	lncRNA
HDAC4	ENSG00000068024	protein_coding
KCNE4	ENSG00000152049	protein_coding
ABCA8	ENSG00000141338	protein_coding
DGKD	ENSG00000077044	protein_coding
HMGA1	ENSG00000137309	protein_coding
HDAC9	ENSG00000048052	protein_coding
ERBB3	ENSG00000065361	protein_coding
NUP160	ENSG00000030066	protein_coding
CCDC174	ENSG00000154781	protein_coding
IL20	ENSG00000162891	protein_coding
DGKZ	ENSG00000149091	protein_coding
MAN1C1	ENSG00000117643	protein_coding
CCSAP	ENSG00000154429	protein_coding
SYVN1	ENSG00000162298	protein_coding
DTX1	ENSG00000135144	protein_coding
ZRANB2	ENSG00000132485	protein_coding
SSU72	ENSG00000160075	protein_coding
PARP9	ENSG00000138496	protein_coding
SETD1B	ENSG00000139718	protein_coding
PSG8	ENSG00000124467	protein_coding
IL18BP	ENSG00000137496	protein_coding
EXOG	ENSG00000157036	protein_coding
TULP2	ENSG00000104804	protein_coding
AAMP	ENSG00000127837	protein_coding
TMBIM1	ENSG00000135926	protein_coding
FHIP1B	ENSG00000051009	protein_coding
ITPKB	ENSG00000143772	protein_coding
MINDY1	ENSG00000143409	protein_coding
NDUFA9	ENSG00000139180	protein_coding
GPR75	ENSG00000119737	protein_coding
LDHA	ENSG00000134333	protein_coding
PDE11A	ENSG00000128655	protein_coding
VWA5B1	ENSG00000158816	protein_coding
QSER1	ENSG00000060749	protein_coding
MPP3	ENSG00000161647	protein_coding
POC1B	ENSG00000139323	protein_coding
ATP2B1	ENSG00000070961	protein_coding
ARPC5	ENSG00000162704	protein_coding
LRRFIP1	ENSG00000124831	protein_coding
ATP11B	ENSG00000058063	protein_coding
RAP1A	ENSG00000116473	protein_coding
AMMECR1L	ENSG00000144233	protein_coding
G0S2	ENSG00000123689	protein_coding
C1orf74	ENSG00000162757	protein_coding
FBLIM1	ENSG00000162458	protein_coding
ARHGEF2	ENSG00000116584	protein_coding
ALPL	ENSG00000162551	protein_coding
WDR26	ENSG00000162923	protein_coding
